$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/no_pads/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/no_pads/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/no_pads/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:22 +0000: Memory Usage (138116K) : graphmetal1_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138116K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138244K) : graphmet1l_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138244K) : graphmet1l_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138244K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138244K) : graphmet1l_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138372K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138372K) : extblock_drw has 6 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138372K) : nldd_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138372K) : pldd_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138372K) : next_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138500K) : pext_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138500K) : nexthv_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138500K) : pexthv_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138500K) : graphgate_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138500K) : sinwg_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138628K) : sinwg_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138628K) : sinwg_nofill has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138628K) : mempad_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138628K) : topvia1_drw has 3 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138628K) : topmetal1_drw has 42 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138628K) : topmetal1_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138756K) : topmetal1_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138756K) : topmetal1 has 42 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138756K) : topmetal1_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138756K) : topmetal1_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138756K) : topmetal1_nofill has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138756K) : topmetal1_text has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138884K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138884K) : topmetal1_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138884K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138884K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139012K) : inldpwl_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139012K) : polyres_drw has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139012K) : polyres_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139012K) : vmim_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139140K) : nbulaycut_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139140K) : antmetal1_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139140K) : topvia2_drw has 37 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139268K) : topmetal2_drw has 58 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139396K) : topmetal2_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139396K) : topmetal2_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139396K) : topmetal2 has 58 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139524K) : topmetal2_pin has 4 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139524K) : topmetal2_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139524K) : topmetal2_nofill has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139652K) : topmetal2_text has 4 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139652K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139652K) : topmetal2_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139652K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139780K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139780K) : snsring_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139780K) : sensor_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139780K) : snsarms_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139908K) : snscmosvia_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (139908K) : colwind_drw has 0 polygons
