$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:24:42 +0000: Memory Usage (136920K) : heattrans_drw has 123 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136920K) : heatres_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136920K) : fbe_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : empoly_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : digisub_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : text_drw has 655 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : via4_drw has 1047 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : metal5_drw has 62 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : metal5_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137048K) : metal5_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137176K) : metal5 has 62 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137176K) : metal5_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137176K) : metal5_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137176K) : metal5_nofill has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137176K) : metal5_text has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137176K) : metal5_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137304K) : metal5_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137304K) : metal5_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137304K) : metal5_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137304K) : metal5_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137304K) : radhard_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137304K) : memcap_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137432K) : varicap_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137432K) : intbondvia_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137432K) : intbondmet_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137432K) : devbondvia_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137560K) : devbondmet_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137560K) : devtrench_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137560K) : redist_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137560K) : graphbot_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137560K) : graphtop_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137688K) : antvia1_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137688K) : antmetal2_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137688K) : graphcont_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137688K) : siwg_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137688K) : siwg_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137688K) : siwg_nofill has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137816K) : sigrating_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137816K) : singrating_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137816K) : graphpas_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137816K) : emwind3_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137816K) : emwihv3_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137816K) : redbulay_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137944K) : smos_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137944K) : graphpad_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137944K) : polimide_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137944K) : polimide_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (137944K) : recog_drw has 1 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138072K) : recog_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138072K) : recog_esd has 5 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138072K) : recog_diode has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138072K) : recog_tsv has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138200K) : recog_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138200K) : recog_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138200K) : recog_pillar has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138200K) : recog_sbump has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138328K) : recog_otp has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138328K) : recog_pdiode has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138328K) : recog_mom has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138328K) : recog_momf has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138456K) : recog_pcm has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138456K) : colopen_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138456K) : graphmetal1_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138456K) : graphmetal1_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138584K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138584K) : graphmetal1_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138584K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138584K) : graphmet1l_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138712K) : graphmet1l_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138712K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138712K) : graphmet1l_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138840K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138840K) : extblock_drw has 6 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138840K) : nldd_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138840K) : pldd_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138840K) : next_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138840K) : pext_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138968K) : nexthv_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138968K) : pexthv_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138968K) : graphgate_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138968K) : sinwg_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (138968K) : sinwg_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139096K) : sinwg_nofill has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139096K) : mempad_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139096K) : topvia1_drw has 487 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139096K) : topmetal1_drw has 92 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139096K) : topmetal1_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139096K) : topmetal1_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139224K) : topmetal1 has 92 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139224K) : topmetal1_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139224K) : topmetal1_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139224K) : topmetal1_nofill has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139224K) : topmetal1_text has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139352K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139352K) : topmetal1_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139352K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139352K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139480K) : inldpwl_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139480K) : polyres_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139480K) : polyres_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139480K) : vmim_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139608K) : nbulaycut_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139608K) : antmetal1_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139736K) : topvia2_drw has 237 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139736K) : topmetal2_drw has 72 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139736K) : topmetal2_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139736K) : topmetal2_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (139864K) : topmetal2 has 72 polygons
