$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/term_stage/term_dut.gds --netlist=/workspace/layout/blocks/out/term_stage/term_dut.cdl --run_dir=/workspace/layout/blocks/out/term_stage/lvs_bisect/baseline --run_mode=deep --topcell=term_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 06:42:37 +0000: Memory Usage (138508K) : extblock_drw has 12 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138508K) : nldd_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138508K) : pldd_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138636K) : next_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138636K) : pext_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138636K) : nexthv_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138636K) : pexthv_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138764K) : graphgate_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138764K) : sinwg_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138764K) : sinwg_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138892K) : sinwg_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138892K) : mempad_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138892K) : topvia1_drw has 483 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138892K) : topmetal1_drw has 32 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139020K) : topmetal1_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139020K) : topmetal1_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139020K) : topmetal1 has 32 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139020K) : topmetal1_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139148K) : topmetal1_mask has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139148K) : topmetal1_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139148K) : topmetal1_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139148K) : topmetal1_noqrc has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139276K) : topmetal1_res has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139276K) : topmetal1_iprobe has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139404K) : topmetal1_diffprb has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139404K) : inldpwl_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139404K) : polyres_drw has 4 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139404K) : polyres_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139532K) : vmim_drw has 225 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139532K) : nbulaycut_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139532K) : antmetal1_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139660K) : topvia2_drw has 212 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139660K) : topmetal2_drw has 34 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139660K) : topmetal2_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139660K) : topmetal2_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139788K) : topmetal2 has 34 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139788K) : topmetal2_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139788K) : topmetal2_mask has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139916K) : topmetal2_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (139916K) : topmetal2_text has 4 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140044K) : topmetal2_noqrc has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140044K) : topmetal2_res has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140044K) : topmetal2_iprobe has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : topmetal2_diffprb has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : snsring_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : sensor_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : snsarms_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : snscmosvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : colwind_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : flm_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : hafniumox_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : memvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : thinfilmres_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : rfmem_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m2m3 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m2m4 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m2m5 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m2tm1 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m2tm2 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m3m4 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m3m5 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m3tm1 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m3tm2 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m4m5 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m4tm1 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m4tm2 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m5tm1 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m5tm2 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_tm1tm2 has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m1sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m2sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m3sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m4sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_m5sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_tm1sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : norcx_tm2sub has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : snsbotvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : snstopvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : deepvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : fgetch_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : ctrgat_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : fgimp_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : emwihv_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : lbe_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : alcustop_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : nometfiller_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : prboundary_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange0_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange0_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange0_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange1_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange1_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange1_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange2_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange2_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (140172K) : exchange2_text has 0 polygons
