$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:41 +0000: Memory Usage (137528K) : recog_pillar has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137528K) : recog_sbump has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137656K) : recog_otp has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137656K) : recog_pdiode has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137656K) : recog_mom has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137656K) : recog_momf has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137656K) : recog_pcm has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137656K) : colopen_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137784K) : graphmetal1_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137784K) : graphmetal1_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137784K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137784K) : graphmetal1_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137784K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137912K) : graphmet1l_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137912K) : graphmet1l_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137912K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137912K) : graphmet1l_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137912K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137912K) : extblock_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138040K) : nldd_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138040K) : pldd_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138040K) : next_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138040K) : pext_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138040K) : nexthv_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138040K) : pexthv_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138168K) : graphgate_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138168K) : sinwg_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138168K) : sinwg_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138168K) : sinwg_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138168K) : mempad_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138168K) : topvia1_drw has 477 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138296K) : topmetal1_drw has 48 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138296K) : topmetal1_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138296K) : topmetal1_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138296K) : topmetal1 has 48 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138424K) : topmetal1_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138424K) : topmetal1_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138424K) : topmetal1_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138424K) : topmetal1_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138552K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138552K) : topmetal1_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138552K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138552K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138680K) : inldpwl_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138680K) : polyres_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138680K) : polyres_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138680K) : vmim_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138808K) : nbulaycut_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138808K) : antmetal1_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138808K) : topvia2_drw has 229 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138808K) : topmetal2_drw has 43 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138936K) : topmetal2_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138936K) : topmetal2_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (138936K) : topmetal2 has 43 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139064K) : topmetal2_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139064K) : topmetal2_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139064K) : topmetal2_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139192K) : topmetal2_text has 6 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139192K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139192K) : topmetal2_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139192K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139320K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (139320K) : snsring_drw has 0 polygons
